Iteration, Key Generation Time (microseconds), Shared Secret Time (microseconds), AES Encryption Time (microseconds), Key Generation Time (microseconds), Shared Secret Time (microseconds), AES Decryption Time (microseconds)
1,4002.809525,9886.980057,219.106674,4002.809525,9886.980057,136.137009
2,2617.120743,9561.061859,155.210495,2617.120743,9561.061859,49.829483
3,2763.032913,9618.759155,322.103500,2763.032913,9618.759155,71.048737
4,3138.065338,10619.878769,133.991241,3138.065338,10619.878769,58.174133
5,2611.875534,8647.918701,118.970871,2611.875534,8647.918701,35.047531
6,2454.042435,8712.053299,129.222870,2454.042435,8712.053299,29.802322
7,2617.835999,8636.713028,128.030777,2617.835999,8636.713028,30.994415
8,2497.911453,8581.161499,128.030777,2497.911453,8581.161499,27.894974
9,2572.059631,8507.013321,123.977661,2572.059631,8507.013321,35.762787
10,2627.849579,8574.008942,127.077103,2627.849579,8574.008942,27.894974
11,2536.058426,8549.928665,122.785568,2536.058426,8549.928665,32.901764
12,2684.831619,8556.127548,126.838684,2684.831619,8556.127548,26.941299
13,2621.889114,8629.083633,128.030777,2621.889114,8629.083633,29.087067
14,2452.850342,8754.968643,125.885010,2452.850342,8754.968643,27.894974
15,2493.858337,8748.054504,124.216080,2493.858337,8748.054504,29.087067
16,2483.844757,8645.772934,126.123428,2483.844757,8645.772934,29.087067
17,2550.125122,8727.073669,138.998032,2550.125122,8727.073669,36.954880
18,2421.140671,8648.872375,113.964081,2421.140671,8648.872375,28.133392
19,2483.844757,8501.052856,120.162964,2483.844757,8501.052856,27.894974
20,2446.174622,8918.046951,117.063522,2446.174622,8918.046951,28.133392
21,2504.110336,8548.021317,115.156174,2504.110336,8548.021317,27.179718
22,2481.222153,8753.061295,115.871429,2481.222153,8753.061295,30.994415
23,2516.984940,8728.027344,125.885010,2516.984940,8728.027344,27.894974
24,2536.773682,8356.094360,119.209290,2536.773682,8356.094360,27.179718
25,2585.172653,8494.853973,125.885010,2585.172653,8494.853973,28.848648
26,2480.268478,8460.998535,134.229660,2480.268478,8460.998535,28.133392
27,2650.976181,8617.162704,133.991241,2650.976181,8617.162704,30.040741
28,2435.922623,8531.093597,126.838684,2435.922623,8531.093597,26.941299
29,2510.070801,8630.037308,177.145004,2510.070801,8630.037308,27.894974
30,2539.873123,8522.033691,124.931335,2539.873123,8522.033691,36.716461
31,2604.722977,8686.780930,130.176544,2604.722977,8686.780930,34.093857
32,2500.772476,8575.916290,121.116638,2500.772476,8575.916290,28.371811
33,2497.911453,8477.926254,114.917755,2497.911453,8477.926254,29.802322
34,2554.893494,8535.861969,127.077103,2554.893494,8535.861969,93.936920
35,2560.853958,8570.909500,118.017197,2560.853958,8570.909500,27.894974
36,2681.016922,8795.738220,141.143799,2681.016922,8795.738220,27.894974
37,2556.800842,8645.057678,115.156174,2556.800842,8645.057678,27.894974
38,2526.283264,8633.136749,126.838684,2526.283264,8633.136749,27.179718
39,2561.807632,8846.044540,131.130219,2561.807632,8846.044540,26.226044
40,2476.930618,8825.063705,145.912170,2476.930618,8825.063705,27.894974
41,2487.182617,8425.951004,124.216080,2487.182617,8425.951004,44.822693
42,2441.883087,8676.767349,127.077103,2441.883087,8676.767349,28.848648
43,2518.177032,8745.908737,123.023987,2518.177032,8745.908737,27.179718
