Iteration,Encapsulation (microseconds),AES256 Encryption (microseconds),Decapsulation (microseconds),AES256 Decryption (microseconds)
1,1453,4995,2058,13197
2,1229,4213,1726,4382
3,1401,4860,1744,4394
4,1459,4749,1719,4411
5,1447,4755,1679,4399
6,1459,4793,1728,4375
7,1401,4852,1713,4368
8,1403,4800,1673,4418
9,1405,4914,1720,4381
10,1400,4779,1719,4380
11,1479,4772,1675,4369
12,1410,4792,1676,4381
13,1399,4831,1673,4378
14,1455,4808,1675,4495
15,1401,4873,1679,4445
16,1398,4728,1952,5105
17,1449,4787,1724,4376
18,1437,4803,1720,4374
19,1400,4788,1677,4444
20,1400,4824,1724,4382
21,1394,4798,1676,4417
22,1404,4802,1565,3838
23,1401,4823,1465,3878
24,1458,5137,1533,3840
25,1457,5128,1894,5144
26,1475,4797,1465,4157
27,1453,4860,1501,3824
28,1460,5312,1472,3859
29,1401,4815,1717,4423
30,1399,4837,1725,4379
31,1492,4768,1466,3840
32,1455,4821,1678,4423
33,1442,4833,1465,3851
34,1395,4828,1547,3837
35,1402,4840,1722,4372
36,1456,4803,1678,4401
37,1461,4773,1681,3832
38,1402,4927,1539,3838
39,1483,4799,1681,4396
40,1403,4826,1711,3839
41,1430,4846,1550,3841
42,1464,4773,1711,4393
43,1400,4850,1509,3828
44,1461,4774,1471,3870
45,1452,4836,1732,4397
46,1404,4909,1696,3837
47,1401,4819,1536,3841
48,1398,4862,1501,3865
49,1409,4839,1705,4406
50,1402,4917,1723,4416
51,1483,4773,1677,4390
52,1400,4772,1509,3843
53,1403,4787,1497,3842
54,1457,4775,1513,3877
55,1401,4841,1702,4381
56,1401,4822,1678,4417
57,1402,4816,1507,3833
58,1406,4832,1673,4383
59,1400,4849,1516,3844
60,1400,4819,1468,3848
61,1454,4751,1680,4535
62,1456,4766,1720,4413
63,1454,4770,1679,4423
64,1454,4754,1673,4403
65,1446,4780,1715,4424
66,1457,4763,1720,4374
67,1466,4781,1713,4372
68,1396,4776,1701,4392
69,1448,4784,1717,4366
70,1401,4814,1677,4425
71,1399,4847,1718,4379
72,1424,4783,1681,4449
73,1477,4786,1737,4393
74,1460,4786,1705,4377
75,1399,4796,1702,4385
76,1397,4797,1673,4415
77,1405,4859,1685,4416
78,1397,4776,1719,4413
79,1479,4771,1723,4406
80,1402,4785,1717,4362
81,1398,4809,1679,4405
82,1425,4829,1677,4371
83,1399,4785,1709,4373
84,1398,4767,1505,3836
85,1468,4799,1722,4400
86,1401,4808,1682,4376
87,1464,4782,1469,3857
88,1228,4225,1671,4402
89,1405,4808,1475,3857
90,1400,4878,1717,4413
91,1466,4795,1476,3863
92,1452,4804,1728,4384
93,1402,4841,1681,4402
94,1394,4818,1681,4408
95,1404,4800,1468,3868
96,1401,4836,1610,3843
97,1402,4869,1679,4377
98,1428,4960,1676,4383
99,1452,4779,1469,3920
100,1442,4871,1733,4403
